volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
10377,1932,1932,1896,1932,m,us,11.00996756,0.004867553,0,1,"Dos Passos, John,",1919,teamred | chirandom
nyp.33433074926712,1920,1920,1867,1920,m,uk,15.07488882,0.041164018,0,1,"Benson, E. F.","""Queen Lucia""",teamred | random
25620,1995,1995,0,1995,f,us,12.34672521,0.018723932,0,1,"Shigekuni, Julie,",A bridge between us,chirandom
22678,1987,1987,1944,1987,m,us,11.21262161,0.016794246,0,1,"Friedman, Kinky,",A case of Lone Star,teamred | chirandom | chimyst
20194,1955,1955,1912,1955,f,us,14.08438847,0.039924113,0,1,"McCarthy, Mary",A charmed life,teamred | chirandom
nyp.33433075746895,1909,1911,1851,1909,m,us,15.9434189,0.997599691,1,1,"Serviss, Garrett Putman,",A Columbus of space,teamblack | anatscifi | locscifi
mdp.39015066036578,1889,1896,1835,1889,m,us,15.51865078,0.341023849,1,1,"Twain, Mark,",A Connecticut Yankee in K,teamblack | anatscifi | stew
njp.32101013621246,1887,1906,1841,1887,m,uk,21.26786965,0.674008469,1,1,"Hudson, W. H.",A crystal age,teamred | anatscifi
20642,1965,1965,1916,1965,m,us,11.48515387,0.194509509,0,1,"MacDonald, John D.",A deadly shade of gold,teamred | chirandom | chimyst
21028,1972,1972,1921,1972,f,us,11.87419268,0.012948032,0,1,"Highsmith, Patricia,",A dog's ransom,crime | teamred | chirandom
nyp.33433082173273,1894,1894,1864,1894,m,us,17.7699177,0.916756638,1,1,"Astor, John Jacob,",A journey in other worlds,teamblack | anatscifi | stew
25445,1994,1994,0,1994,m,us,11.83175184,0.160238528,0,1,"Block, Lawrence,",A long line of dead men,chirandom
11927,1950,1950,1886,1950,m,uk,14.25857589,0.31240454,1,1,"Stapledon, Olaf,",A man divided,teamred | chiscifi
11709,1942,1942,1895,1942,f,nz,12.4766178,0.022001092,0,1,"Marsh, Ngaio,",A man lay dead,teamblack | chirandom | chimyst | cozy
24094,1994,1994,1953,1994,f,us,12.79580905,0.029268587,0,1,"Pelletier, Cathie,",A marriage made at Woodstock,chirandom
22787,1987,1987,1943,1987,m,us,11.86220383,0.043433432,0,1,"Swift, Edward,",A place with promise,teamred | chirandom
uc2.ark+=13960=t2794143s,1912,1917,1875,1912,m,us,16.43514102,0.985312851,1,1,"Burroughs, Edgar Rice,",A princess of Mars,teamred | anatscifi
nyp.33433076056781,1891,1891,0,1891,m,,12.48896384,0.763582774,1,1,"Ward, Herbert Dickinson,",A republic without a pres,teamblack | locscifi | stew
uiuo.ark+=13960=t7cr65585,1886,1886,1855,1886,f,uk,15.84721802,0.883413356,1,1,"Corelli, Marie,",A romance of two worlds,femscifi | teamred | locscifi
10838,1947,1947,1906,1947,m,au,12.7553057,0.157827211,0,1,"Blunden, Godfrey",A Room on the Route,teamblack | chirandom
