volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
uc2.ark+=13960=t5db7zr5v,1879,1879,1839,1879,m,us,14.6422018,0.033838091,0,1,"Adams, Robert Chamblet,","On board the ""Rocket""",teamblack | random
21488,1978,1978,1927,1978,m,us,12.60575818,0.037202045,0,1,"Adler, Warren,",The Casanova embrace,teamblack | chirandom
11519,1937,1937,1904,1937,f,uk,11.69800155,0.02116395,0,1,"Allingham, Margery,",Dancers in mourning,cozy | teamred | chirandom | chimyst
25535,1995,1995,1962,1995,m,us,12.79792267,0.99970996,1,1,"Anderson, Kevin J.",Darksaber,chiscifi
20866,1970,1970,1926,1970,m,us,12.0295263,0.999456751,1,1,"Anderson, Poul,",Tau zero,teamblack | chiscifi | chirandom
11316,1931,1931,1882,1931,m,uk,13.62848303,0.201560264,0,1,"Armstrong, Martin,",The romantic adventures o,teamblack | chirandom
10970,1950,1950,1920,1950,m,us,12.54668302,0.999384889,1,1,"Asimov, Isaac,",I: robot,teamblack | chiscifi | stew
20002,1951,1951,1920,1951,m,us,12.43894243,0.996530985,1,1,"Asimov, Isaac,",Foundation,chiscifi | teamred
20044,1952,1952,1920,1952,m,us,12.97574842,0.992389561,1,1,"Asimov, Isaac,",Foundation and empire,teamblack | chiscifi | chirandom | stew
20083,1953,1953,1920,1953,m,us,13.03451488,0.998920506,1,1,"Asimov, Isaac,",Second foundation,chiscifi | teamred | chirandom | stew
20673,1966,1966,1920,1966,m,us,12.49318102,0.999843176,1,1,"Asimov, Isaac,",Fantastic voyage,chiscifi | teamred | stew
25362,1993,1993,1920,1993,m,us,12.44604947,0.98241832,1,1,"Asimov, Isaac,",Forward the foundation,chiscifi
nyp.33433082173273,1894,1894,1864,1894,m,us,17.7699177,0.965181504,1,1,"Astor, John Jacob,",A journey in other worlds,teamblack | anatscifi | stew
njp.32101067641678,1878,1878,1812,1878,m,ge,13.88168319,0.005475915,0,1,"Auerbach, Berthold,",Landolin,random | teamred
mdp.39015051156498,1826,1826,1798,1826,m,uk,24.05254058,0.174188781,0,1,"Banim, John,",Tales,random | teamred
uc1.b249543,1898,1898,1831,1898,f,uk,14.63856082,0.00034676,0,1,"Barr, Amelia Edith Huddle",The lost silver of Briffa,teamblack | random
21494,1978,1978,1939,1978,m,us,12.74630292,0.021849002,0,1,"Bayer, William,",Tangier,teamblack | chirandom
dul1.ark+=13960=t66401k8k,1888,1888,1850,1888,m,us,16.94967106,0.998609766,1,1,"Bellamy, Edward,","Looking backward, 2000-18",teamred | locscifi | stew | anatscifi
22305,1985,1985,1941,1985,m,us,11.98113002,0.969877559,1,1,"Benford, Gregory,",Artifact,teamblack | chiscifi
24001,1994,1994,1941,1994,m,us,11.31278772,0.998424594,1,1,"Benford, Gregory,",Furious gulf,chiscifi
nyp.33433074926712,1920,1920,1867,1920,m,uk,15.07488882,0.00590112,0,1,"Benson, E. F.","""Queen Lucia""",random | teamred
mdp.39015031332862,1913,1913,1873,1913,m,uk,13.66884371,0.725255397,1,1,"Beresford, J. D.",Goslings,teamred | anatscifi
21079,1973,1973,1914,1973,m,us,13.78821041,0.721784688,0,1,"Berryman, John,",Recovery,teamred | chirandom
nyp.33433074939723,1888,1888,1836,1888,m,uk,14.75763936,0.96388161,1,1,"Besant, Walter,",The inner house,teamblack | anatscifi | stew
uc2.ark+=13960=t17m0b23x,1895,1895,0,1895,m,,13.14672401,0.026836074,1,1,"Besant, Walter,",Beyond the dreams of avar,teamred | locscifi | stew
nyp.33433079897819,1892,1892,1842,1892,m,us,14.56640132,0.039134279,0,1,"Bierce, Ambrose,",The monk and the hangman',teamblack | random
21929,1982,1982,1945,1982,m,us,13.82506191,0.954548806,1,1,"Bishop, Michael,",No enemy but time,teamblack | chiscifi
25445,1994,1994,0,1994,m,us,11.83175184,0.104651173,0,1,"Block, Lawrence,",A long line of dead men,chirandom
10838,1947,1947,1906,1947,m,au,12.7553057,0.165872587,0,1,"Blunden, Godfrey",A Room on the Route,teamblack | chirandom
22623,1987,1987,0,1987,f,us,13.36646672,0.97864283,1,1,"Bonanno, Margaret Wander,",Strangers from the sky,teamblack | chiscifi | stew
21500,1978,1978,1932,1978,m,us,11.40712017,0.993835928,1,1,"Bova, Ben,",Colony,chiscifi | teamred | stew
10733,1944,1944,1915,1944,f,us,10.64192348,0.013339955,0,1,"Brackett, Leigh,",No good from a corpse,teamred | chirandom | chimyst
20088,1953,1953,1920,1953,m,us,12.47769239,0.552260464,1,1,"Bradbury, Ray,",Fahrenheit 451,teamblack | chiscifi | stew
20480,1962,1962,1920,1962,m,us,14.25770286,0.509971871,1,1,"Bradbury, Ray,",Something wicked this way,teamblack | chihorror | chiscifi
njp.32101068138443,1892,1892,1851,1892,m,us,15.84828327,0.999314666,1,1,"Bradshaw, William R.",The goddess of Atvatabar,teamblack | locscifi
20620,1965,1965,0,1965,m,guyana,12.3941917,0.001402957,0,1,"Braithwaite, E. R.  (Edwa",Choice of straws,teamblack | chirandom
20727,1967,1967,1913,1967,f,us,11.65851967,0.000530604,0,1,"Braun, Lilian Jackson,",The cat who ate Danish mo,teamblack | chirandom | chimyst
21603,1979,1979,1950,1979,f,us,10.69731675,0.117846674,0,1,"Braverman, Kate,",Lithium for Medea,teamblack | chirandom
10514,1937,1937,1903,1937,f,us,11.38760996,0.001642273,0,1,"Bristow, Gwen,",Deep summer,teamblack | chirandom
20089,1953,1953,1906,1953,m,us,11.81412532,0.757480579,1,1,"Brown, Fredric,",The lights in the sky are,chiscifi | teamred | chirandom | stew
21501,1978,1978,1945,1978,m,us,11.21261778,0.050694676,0,1,"Brown, Wesley,",Tragic magic,teamred | chirandom
11191,1927,1927,1875,1927,m,uk,13.19781652,0.019074866,0,1,"Buchan, John,",Witch wood,teamblack | chifantasy | chirandom
23267,1990,1990,1949,1990,f,us,12.01779252,0.961183508,1,1,"Bujold, Lois McMaster,",The vor game,chiscifi
10008,1923,1923,1875,1923,m,us,12.75302857,0.987517641,1,1,"Burroughs, Edgar Rice,",Pellucidar,chiscifi | teamred | stew
10053,1928,1928,1875,1928,m,us,13.99386406,0.994157217,1,1,"Burroughs, Edgar Rice,",The master mind of Mars,teamblack | chiscifi
10083,1930,1930,1875,1930,m,us,14.5930085,0.998757026,1,1,"Burroughs, Edgar Rice,",Tarzan at the earth's cor,chiscifi | chifantasy | teamred
10235,1925,1925,1875,1925,m,us,12.70492452,0.789246952,1,1,"Burroughs, Edgar Rice,",The moon men,teamblack | chiscifi | stew
10301,1929,1929,1875,1929,m,us,13.97207528,0.983413716,1,1,"Burroughs, Edgar Rice,",Tanar of Pellucidar,chiscifi | teamred | stew
10302,1929,1929,1875,1929,m,us,13.54089876,0.918871163,1,1,"Burroughs, Edgar Rice,",The monster men,chiscifi | teamred | stew
10542,1938,1938,1875,1938,m,us,12.59475791,0.533472544,1,1,"Burroughs, Edgar Rice,",The lad and the lion,chiscifi | teamred
10736,1944,1944,1875,1944,m,us,13.11078578,0.969404809,1,1,"Burroughs, Edgar Rice,",Land of terror,chiscifi | chifantasy | teamred
4528,1921,1921,1875,1921,m,us,13.24755509,0.101075118,1,1,"Burroughs, Edgar Rice,",The mucker,teamblack | chiscifi
4655,1922,1922,1875,1922,m,us,13.25366315,0.980841518,1,1,"Burroughs, Edgar Rice,",The chessmen of Mars,teamblack | chiscifi | stew
uc2.ark+=13960=t2794143s,1912,1917,1875,1912,m,us,16.43514102,0.995800411,1,1,"Burroughs, Edgar Rice,",A princess of Mars,teamred | anatscifi
20481,1962,1962,1914,1962,m,us,9.986243661,0.997310198,0,1,"Burroughs, William S.",The ticket that exploded,teamblack | chirandom
20572,1964,1964,1914,1964,m,us,10.44470168,0.999877035,1,1,"Burroughs, William S.",Nova Express,teamblack | chiscifi
10803,1946,1946,1903,1946,m,us,12.27852683,0.032443397,0,1,"Busch, Niven,",Day of the conquerors,teamblack | chirandom
21304,1976,1976,1947,1976,f,us,11.23203472,0.991938689,1,1,"Butler, Octavia E,",Patternmaster,chiscifi | chifantasy | teamred
20533,1963,1963,1900,1963,f,us,14.52469446,0.006597459,0,1,"Caldwell, Taylor,",Grandmother and the pries,teamblack | chirandom
uiuo.ark+=13960=t48p6974b,1868,1868,1813,1868,m,uk,16.0872516,0.410706395,0,1,"Capes, J. M.",The mosaic-worker's daugh,teamblack | random
20677,1966,1966,1922,1966,m,us,11.85326849,0.009060675,0,1,"Capps, Benjamin,",A woman of the people,teamred | chirandom
23764,1992,1992,1951,1992,m,us,12.26101437,0.399574832,0,1,"Card, Orson Scott,",Lost boys,chirandom
10202,1950,1950,1909,1950,m,us,13.19390351,0.010010163,0,1,"Castor, Henry,",The year of the Spaniard,teamred | chirandom
22168,1984,1984,1942,1984,f,us,11.49833039,0.701613405,1,1,"Cherryh, C. J,",Chanur's venture,chiscifi | chifantasy | teamred
11675,1941,1941,1890,1941,f,uk,11.37910848,0.049537071,0,1,"Christie, Agatha,",N or M?,teamblack | cozy | chirandom | chimyst
11877,1949,1949,1890,1949,f,uk,11.27199377,0.017365125,0,1,"Christie, Agatha,",Crooked house,cozy | teamred | chirandom | chimyst
uc2.ark+=13960=t0js9hc64,1887,1887,1883,1887,f,us,14.88224934,0.006198574,0,1,"Clarke, Rebecca Sophia,",Drones' honey,teamblack | random
20573,1964,1964,1922,1964,m,us,13.07284481,0.999035541,1,1,"Clement, Hal,",Close to critical,teamblack | chiscifi
20485,1962,1962,1906,1962,m,us,12.71668196,0.995649395,1,1,"Clifton, Mark,",When they come from space,teamblack | chiscifi
21607,1979,1979,1935,1979,m,us,12.07736676,0.885758057,0,1,"Cline, C. Terry,",Cross current,teamblack | chirandom
mdp.39015010330341,1877,1877,1822,1877,f,uk,19.07064931,0.999968972,1,1,"Cobbe, Frances Power,",The age of science,teamred | stew | femscifi
22054,1983,1983,1926,1983,m,us,12.19738943,0.610348657,0,1,"Coldsmith, Don,",Follow the wind,teamblack | chirandom
22325,1985,1985,1968,1985,m,us,12.22978302,0.020026195,0,1,"Collins, Max Allan,",A shroud for Aquarius,teamred | chirandom | chimyst
11323,1931,1931,1880,1931,m,uk,12.4726251,0.013467373,0,1,"Connington, J. J.",The boathouse riddle,teamblack | chirandom | chimyst
23059,1989,1989,1940,1989,m,us,11.36879598,0.556737162,1,1,"Cook, Robin,",Mutation,chiscifi | chihorror | teamred | stew
uiuo.ark+=13960=t7cr65585,1886,1886,1855,1886,f,uk,15.84721802,0.967193965,1,1,"Corelli, Marie,",A romance of two worlds,teamred | locscifi | femscifi
nyp.33433074818778,1880,1880,1844,1880,m,us,18.77528526,0.998585427,1,1,"Cowan, Frank,",Revi-Lona,teamblack | locscifi
11226,1928,1928,1873,1928,m,au,13.4148941,0.955664338,1,1,"Cox, Erle,",Out of the silence,teamblack | chiscifi
25987,1999,1999,1942,1999,m,us,12.20737812,0.973287796,1,1,"Crichton, Michael,",Timeline,chiscifi
uc1.b3324205,1906,1913,1867,1906,m,uk,12.69082954,0.068047789,0,1,"Cullum, Ridgwell,",The night-riders;,teamblack | random
10090,1931,1931,1887,1931,m,us,10.96691707,0.999969745,1,1,"Cummings, Ray,",Brigands of the moon,teamblack | chiscifi
10808,1946,1946,1887,1946,m,us,10.85026566,0.999625375,1,1,"Cummings, Ray,",The shadow girl,teamblack | chiscifi
24651,1998,1998,1969,1998,f,us,12.45950172,0.007842078,0,1,"Danticat, Edwidge,",The farming of bones,chirandom
20819,1969,1969,1923,1969,m,us,13.61993715,0.7555902,1,1,"Davidson, Avram,",The phoenix and the mirro,teamblack | chiscifi
21088,1973,1973,1916,1973,f,us,11.19343542,0.000858434,0,1,"Davis, Dorothy Salisbury,",The little brothers,teamblack | chirandom | chimyst
20820,1969,1969,1936,1969,f,us,12.88874737,0.005840603,0,1,"Davis, Gwen,",The pretenders,teamred | chirandom
dul1.ark+=13960=t3zs3df24,1888,1888,1833,1888,m,us,14.82110655,0.995138688,1,1,"De Mille, James,",A strange manuscript foun,teamblack | anatscifi | locscifi
20133,1954,1954,1915,1954,m,us,11.67284696,0.998008284,1,1,"Del Rey, Lester,",Step to the stars,teamblack | chiscifi
20222,1956,1956,1915,1956,m,us,11.6880071,0.999508825,1,1,"Del Rey, Lester,",Mission to the moon,teamblack | chiscifi
