volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
dul1.ark+=13960=t3dz0xh78,1880,1880,1836,1880,m,uk,19.46184022,0.999999564,1,1,"Greg, Percy,",Across the zodiac,anatscifi | locscifi | teamblack
dul1.ark+=13960=t3zs3df24,1888,1888,1833,1888,m,us,14.82110655,0.999866683,1,1,"De Mille, James,",A strange manuscript foun,anatscifi | locscifi | teamblack
njp.32101021206436,1901,1901,1866,1901,m,uk,12.60904581,0.999996472,1,1,"Wells, H. G.",The first men in the moon,anatscifi | locscifi | teamblack
nyp.33433075746895,1909,1911,1851,1909,m,us,15.9434189,0.99999814,1,1,"Serviss, Garrett Putman,",A Columbus of space,anatscifi | locscifi | teamblack
uc1.32106001959946,1904,1904,1866,1904,m,uk,13.07700789,0.9983705,1,1,"Wells, H. G.",The food of the gods and ,anatscifi | locscifi | teamblack
uc1.b3578701,1880,1880,1836,1880,m,uk,17.66598768,0.967715438,1,1,"Greg, Percy,",Across the zodiac,anatscifi | locscifi | teamblack
dul1.ark+=13960=t95723c7j,1872,1897,1842,1872,m,fr,16.43629948,0.999999914,1,1,"Flammarion, Camille,",Lumen,anatscifi | stew | teamblack
EllisSteamManPrairies1868,1868,1880,1840,1868,m,us,16.33148567,0.996161313,1,1,"Ellis, Edward S.",The Steam Man of the Prairies,anatscifi | stew | teamblack
mdp.39015001553547,1912,1915,1876,1912,m,us,13.68161452,0.995685879,1,1,"London, Jack,",The scarlet plague,anatscifi | stew | teamblack
mdp.39015066036578,1889,1896,1835,1889,m,us,15.51865078,0.38531193,1,1,"Twain, Mark,",A Connecticut Yankee in K,anatscifi | stew | teamblack
nyp.33433074850961,1905,1905,0,1905,m,us,17.57877819,0.019656702,1,1,"Harper, Vincent.",The mortgage on the brain,anatscifi | stew | teamblack
nyp.33433074939723,1888,1888,1836,1888,m,uk,14.75763936,0.996709107,1,1,"Besant, Walter,",The inner house,anatscifi | stew | teamblack
nyp.33433075746812,1920,1920,1892,1920,m,uk,13.87440656,0.994911565,1,1,"Shanks, Edward,",The people of the ruins,anatscifi | stew | teamblack
nyp.33433082173273,1894,1894,1864,1894,m,us,17.7699177,0.998045083,1,1,"Astor, John Jacob,",A journey in other worlds,anatscifi | stew | teamblack
nyp.33433075727168,1893,1893,1866,1893,m,uk,14.04966199,0.999349723,1,1,"Fawcett, E. Douglas",Hartmann the anarchist,anatscifi | teamblack
nyp.33433075827018,1893,1894,1842,1893,m,fr,19.83632119,1,1,1,"Flammarion, Camille,",Omega: the last days of t,anatscifi | teamblack
nyp.33433081958500,1771,1802,1740,1771,m,fr,17.31879699,0.992622757,1,1,"Mercier, Louis-S?bastien,",Memoirs of the year two t,anatscifi | teamblack
uc1.b244810,1898,1898,1865,1898,m,uk,16.55014,0.888465159,1,1,"Shiel, M. P.",The yellow danger,anatscifi | teamblack
uc2.ark+=13960=t45q4sn3p,1893,1894,1857,1893,m,uk,16.87078647,0.955788675,1,1,"Griffith, George Chetwynd",The angel of the revoluti,anatscifi | teamblack
uva.x030223689,1871,1871,1803,1871,m,uk,19.6843166,0.999997609,1,1,"Lytton, Edward Bulwer Lyt",The coming race,anatscifi | teamblack
mdp.39015004307362,1870,1873,1828,1870,m,fr,14.70608207,0.999802615,1,1,"Verne, Jules,",Twenty thousand leagues u,anatscifi | teamred
mdp.39015007007282,1889,1889,1834,1889,m,us,16.56019035,0.9999893,1,1,"Stockton, Frank Richard,",The great war syndicate,anatscifi | teamred
mdp.39015031332862,1913,1913,1873,1913,m,uk,13.66884371,0.652942834,1,1,"Beresford, J. D.",Goslings,anatscifi | teamred
mdp.39015078569723,1880,1880,1836,1880,m,uk,16.8030693,0.24010091,1,1,"Greg, Percy,",Across the zodiac,anatscifi | teamred
njp.32101013621246,1887,1906,1841,1887,m,uk,21.26786965,0.828800294,1,1,"Hudson, W. H.",A crystal age,anatscifi | teamred
nyp.33433039680552,1890,1890,1831,1890,m,us,15.88657155,0.999885921,1,1,"Donnelly, Ignatius,",C?sar's column,anatscifi | teamred
uc2.ark+=13960=t2794143s,1912,1917,1875,1912,m,us,16.43514102,0.999856359,1,1,"Burroughs, Edgar Rice,",A princess of Mars,anatscifi | teamred
dul1.ark+=13960=t16m3xm4f,1922,1922,1872,1922,f,uk,13.70371334,0.965154263,1,1,"Hamilton, Cicely,",Theodore savage,anatscifi | teamred | femscifi
uc1.b117774,1886,1887,1828,1886,m,fr,13.96012185,0.999920602,1,1,"Verne, Jules,",The clipper of the clouds,anatscifi | teamred | locscifi
dul1.ark+=13960=t66401k8k,1888,1888,1850,1888,m,us,16.94967106,0.999779514,1,1,"Bellamy, Edward,","Looking backward, 2000-18",anatscifi | teamred | locscifi | stew
dul1.ark+=13960=t98637h6g,1895,1895,1866,1895,m,uk,13.7275126,0.99999053,1,1,"Wells, H. G.",The time machine;,anatscifi | teamred | locscifi | stew
mdp.39015059642994,1886,1903,1850,1886,m,uk,15.7028332,0.555839557,1,1,"Stevenson, Robert Louis,",Strange case of Dr. Jekyl,anatscifi | teamred | pbgothic | stew
coo.31924051019580,1912,1912,1859,1912,m,uk,13.64482093,0.993767594,1,1,"Doyle, Arthur Conan,",The lost world,anatscifi | teamred | stew
uva.x000380956,1865,1874,1828,1865,m,fr,15.97583394,0.999998804,1,1,"Verne, Jules,",From the Earth to the Moo,anatscifi | teamred | stew
LindsayVoyageToArcturus1920,1920,1920,1876,1920,m,uk,12.93671613,0.999958379,1,1,"Lindsay, David,",Voyage To Arcturus,anatscifi | teamred | stew | chifantasy
10954,1949,1949,1905,1949,m,us,12.38224056,0.013323475,0,1,"Palmer, Stuart,",Four lost ladies,chimyst | teamblack | chirandom
11323,1931,1931,1880,1931,m,uk,12.4726251,0.001485627,0,1,"Connington, J. J.",The boathouse riddle,chimyst | teamblack | chirandom
11932,1950,1950,1878,1950,f,uk,11.72911633,0.000334897,0,1,"Wentworth, Patricia,",Through the wall,chimyst | teamblack | chirandom
20075,1952,1952,1908,1952,m,us,10.53537368,0.018047208,0,1,"Powell, Richard,",A shot in the dark,chimyst | teamblack | chirandom
20474,1961,1961,1886,1961,m,us,11.61613363,0.000426342,0,1,"Stout, Rex,",The final deduction,chimyst | teamblack | chirandom
20526,1962,1962,1886,1962,m,us,11.81326447,0.000661341,0,1,"Stout, Rex,",Gambit,chimyst | teamblack | chirandom
21088,1973,1973,1916,1973,f,us,11.19343542,8.86E-05,0,1,"Davis, Dorothy Salisbury,",The little brothers,chimyst | teamblack | chirandom
23092,1989,1989,1937,1989,m,us,13.48892982,0.008478046,0,1,"Goldsborough, Robert,",The last coincidence,chimyst | teamblack | chirandom
23334,1990,1990,1936,1990,m,us,12.94905543,0.02490251,0,1,"Greenburg, Dan,",Exes,chirandom
23703,1991,1991,1916,1991,m,us,15.25218566,0.000737169,0,1,"Murray, Albert,",The spyglass tree,chirandom
23764,1992,1992,1951,1992,m,us,12.26101437,0.013719461,0,1,"Card, Orson Scott,",Lost boys,chirandom
23825,1992,1992,1952,1992,m,us,11.65465731,0.031743643,0,1,"McCammon, Robert R,",Boy's life,chirandom
24091,1994,1994,1963,1994,f,us,10.34788141,0.000146584,0,1,"Patchett, Ann,",Taft,chirandom
24094,1994,1994,1953,1994,f,us,12.79580905,0.000750617,0,1,"Pelletier, Cathie,",A marriage made at Woodstock,chirandom
24314,1996,1996,1937,1996,f,us,13.85389539,3.82E-05,0,1,"Farr, Judith,",I never came to you in white,chirandom
24651,1998,1998,1969,1998,f,us,12.45950172,0.002524716,0,1,"Danticat, Edwidge,",The farming of bones,chirandom
24835,1999,1999,1954,1999,m,us,11.01370755,0.33745509,0,1,"Child, Lee,",Tripwire,chirandom
25357,1992,1992,1945,1992,f,us,12.25305444,0.032749272,0,1,"Willis, Connie,",Doomsday book,chirandom
25429,1993,1993,1964,1993,m,us,9.951087462,0.000425447,0,1,"Watkins, Paul,",The promise of light,chirandom
25445,1994,1994,0,1994,m,us,11.83175184,0.03091564,0,1,"Block, Lawrence,",A long line of dead men,chirandom
25470,1994,1994,0,1994,f,us,13.37542483,0.000370343,0,1,"Edgarian, Carol,",Rise the Euphrates,chirandom
25606,1995,1995,1942,1995,f,us,22.28671922,0.154547091,0,1,"Reich, Tova,",The Jewish war,chirandom
25620,1995,1995,0,1995,f,us,12.34672521,0.000267027,0,1,"Shigekuni, Julie,",A bridge between us,chirandom
25645,1996,1996,1944,1996,m,us,10.97224661,0.000798412,0,1,"Brown, Rita Mae,",Riding shotgun,chirandom
26019,1999,1999,1950,1999,m,us,11.70837362,0.987858944,0,1,"Harlow, Bill,",Circle William,chirandom
24491,1997,1997,1952,1997,f,us,13.8683282,0.022904301,0,1,"Gabaldon, Diana,",Drums of autumn,chirandom | chifantasy
23267,1990,1990,1949,1990,f,us,12.01779252,0.993874046,1,1,"Bujold, Lois McMaster,",The vor game,chiscifi
23375,1990,1990,0,1990,,us,12.78617788,0.999715705,1,1,"McCaffrey, Anne,",Pegasus in flight,chiscifi
23822,1992,1992,1926,1992,f,us,12.95500847,0.956141438,1,1,"McCaffrey, Anne,",Crystal line,chiscifi
23867,1992,1992,1947,1992,m,us,11.98857236,0.923179916,1,1,"Varley, John,",Steel beach,chiscifi
24001,1994,1994,1941,1994,m,us,11.31278772,0.999942869,1,1,"Benford, Gregory,",Furious gulf,chiscifi
24593,1997,1997,1932,1997,m,us,15.77561535,0.293533825,1,1,"Updike, John,",Toward the end of time,chiscifi
24800,1998,1998,1951,1998,m,us,12.69698063,0.998164227,1,1,"Zahn, Timothy,",Vision of the future,chiscifi
25362,1993,1993,1920,1993,m,us,12.44604947,0.99792954,1,1,"Asimov, Isaac,",Forward the foundation,chiscifi
25519,1994,1994,1935,1994,m,us,12.68700919,0.99292169,1,1,"Silverberg, Robert,",Hot sky at midnight,chiscifi
25530,1994,1994,1957,1994,m,us,13.40943803,0.991798133,1,1,"Wolverton, Dave,",The courtship of Princess Leia,chiscifi
25535,1995,1995,1962,1995,m,us,12.79792267,0.999974959,1,1,"Anderson, Kevin J.",Darksaber,chiscifi
25987,1999,1999,1942,1999,m,us,12.20737812,0.995355375,1,1,"Crichton, Michael,",Timeline,chiscifi
10923,1948,1948,1908,1948,m,us,12.44507791,0.9998933,1,1,"Williamson, Jack,",Darker than you think,chiscifi | chihorror | teamblack | chifantasy
23838,1992,1992,1938,1992,m,us,11.57835138,0.999586324,1,1,"Niven, Larry,",The California voodoo game,chiscifi | chimyst
24690,1998,1998,1960,1998,f,us,11.78437544,0.532057677,1,1,"Hopkinson, Nalo,",Brown girl in the ring,chiscifi | chirandom
25578,1995,1995,1951,1995,f,us,14.20408523,0.999946039,1,1,"Hambly, Barbara,",Children of the Jedi,chiscifi | chirandom
11591,1938,1938,1874,1938,m,uk,15.55088084,0.999900461,1,1,"Wright, S. Fowler,",The adventure of Wyndham ,chiscifi | chiutopia | stew | teamblack | chirandom
20956,1971,1971,0,1971,m,us,15.18511548,0.999998294,1,1,"Geissler, Ludwig A,",Looking beyond,chiscifi | chiutopia | stew | teamred
11043,1932,1932,1894,1932,m,uk,12.86505424,0.97506815,1,1,"Huxley, Aldous,",Brave new world,chiscifi | chiutopia | teamblack
21187,1974,1974,1929,1974,f,us,13.62229859,0.962341899,1,1,"Le Guin, Ursula K.",The Dispossessed,chiscifi | chiutopia | teamred
21355,1976,1976,1936,1976,f,us,11.53900373,0.141240239,1,1,"Piercy, Marge,",Woman on the edge of time,chiscifi | chiutopia | teamred
23507,1962,1962,1894,1962,m,uk,13.36243151,0.864811567,1,1,"Huxley, Aldous,",Island,chiscifi | chiutopia | teamred
10235,1925,1925,1875,1925,m,us,12.70492452,0.832851528,1,1,"Burroughs, Edgar Rice,",The moon men,chiscifi | stew | teamblack
10310,1929,1929,1891,1929,m,us,13.41618888,0.999989284,1,1,"Kline, Otis Adelbert,",The planet of peril,chiscifi | stew | teamblack
10827,1946,1946,1898,1946,m,us,12.03415267,0.777161918,1,1,"Sherman, Harold M.",The green man,chiscifi | stew | teamblack
10832,1946,1946,0,1946,,us,13.47008211,0.999987524,1,1,"Van Vogt, A. E. 1912-  (A",Slan,chiscifi | stew | teamblack
10970,1950,1950,1920,1950,m,us,12.54668302,0.999997292,1,1,"Asimov, Isaac,",I: robot,chiscifi | stew | teamblack
